 id,city,state_abrv,pop90,rank90,longitude,latitude
 1,New York,NY,7322564,1,-73.943849000,40.669800000,
 2,Los Angeles,CA,3485398,2,-118.411201000,34.112101000,
 3,Chicago,IL,2783726,3,-87.684965000,41.837050000,
 4,Houston,TX,1630553,4,-95.386728000,29.768700000,
 5,Philadelphia,PA,1585577,5,-75.134678000,40.006817000,
 6,San Diego,CA,1110549,6,-117.135770000,32.814950000,
 7,Detroit,MI,1027974,7,-83.102198000,42.383100000,
 8,Dallas,TX,1006877,8,-96.765249000,32.794151000,
 9,Phoenix,AZ,983403,9,-112.071399000,33.542550000,
 10,San Antonio,TX,935933,10,-98.505355000,29.457650000,
 11,San Jose,CA,782248,11,-121.849783000,37.304000000,
 12,Indianapolis,IN,741952,12,-86.145999000,39.777700000,
 13,Baltimore,MD,736014,13,-76.610616000,39.300800000,
 14,San Francisco,CA,723959,14,-122.495856000,37.779040000,
 15,Jacksonville,FL,672971,15,-81.648509000,30.334150000,
 16,Columbus,OH,632910,16,-82.987381000,39.988933000,
 17,Milwaukee,WI,628088,17,-87.966623000,43.063350000,
 18,Memphis,TN,610337,18,-90.006991000,35.105600000,
 19,Washington,DC,606900,19,-77.016167000,38.905050000,
 20,Boston,MA,574283,20,-71.017892000,42.336029000,
 21,Seattle,WA,516259,21,-122.350326000,47.621800000,
 22,El Paso,TX,515342,22,-106.437549000,31.849250000,
 23,Nashville-Davidson,TN,510784,23,-86.784829000,36.171550000,
 24,Cleveland,OH,505616,24,-81.678511000,41.479700000,
 25,New Orleans,LA,496938,25,-89.931355000,30.065846000,
 26,Denver,CO,467610,26,-104.872655000,39.768035000,
 27,Austin,TX,465622,27,-97.750522000,30.305880000,
 28,Fort Worth,TX,447619,28,-97.336249000,32.753901000,
 29,Oklahoma City,OK,444719,29,-97.513491000,35.467050000,
 30,Portland,OR,437319,30,-122.656496000,45.538250000,
 31,Kansas City,MO,435146,31,-94.552009000,39.122312000,
 32,Long Beach,CA,429433,32,-118.159824000,33.788900000,
 33,Tucson,AZ,405390,33,-110.891717000,32.195816000,
 34,St Louis,MO,396685,34,-90.244299000,38.636050000,
